PassengerId,Age,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_C,Embarked_Q,Embarked_S,Fare_scaler,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,age_scaler
1,22.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5024451714361923,0,0,1,0,0,0,-0.5582655824520522
2,38.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.7868452935884461,0,0,0,1,0,0,0.6026345756121214
3,26.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4888542575852486,0,1,0,0,0,0,-0.26804054293600876
4,35.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4207302360686478,0,0,0,1,0,0,0.38496579597508884
5,35.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4863374216869257,0,0,1,0,0,0,0.38496579597508884
6,39.236291448482035,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.47811642890864375,0,0,1,0,0,0,0.6923352592343827
7,54.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.395813560675251,0,0,1,0,0,0,1.763534733676295
8,2.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.22408312108167944,1,0,0,0,0,0,-2.0093907800322692
9,27.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.4242561406845337,0,0,0,1,0,0,-0.19548428305699794
10,14.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.04295550208861426,0,0,0,1,0,0,-1.138715661484139
11,4.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.312172377522981,0,1,0,0,0,0,-1.8642782602742474
12,58.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.11384570873513637,0,1,0,0,0,0,2.0537597731923385
13,20.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4863374216869257,0,0,1,0,0,0,-0.7033781022100739
14,39.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.01870931177853076,0,0,1,0,0,0,0.6751908354911322
15,14.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4902797934380587,0,1,0,0,0,0,-1.138715661484139
16,55.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3262666585535892,0,0,0,1,0,0,1.8360909935553058
17,2.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-0.06199888922968463,1,0,0,0,0,0,-2.0093907800322692
18,31.562706900349554,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3866707201133388,0,0,1,0,0,0,0.1355686645565203
19,31.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.2859972841804228,0,0,0,1,0,0,0.09474075645904545
20,31.5902299499112,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.5029485386158568,0,0,0,1,0,0,0.13756563409317812
21,35.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.12491978668775715,0,0,1,0,0,0,0.38496579597508884
22,34.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3866707201133388,0,0,1,0,0,0,0.31240953609607797
23,15.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4867562231804066,0,1,0,0,0,0,-1.0661594016051281
24,28.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.06635974158478332,0,0,1,0,0,0,-0.12292802317798708
25,8.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.22408312108167944,0,1,0,0,0,0,-1.574053220758204
26,38.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.016444159470040135,0,0,0,1,0,0,0.6026345756121214
27,32.3798061750749,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.5029485386158568,0,0,1,0,0,0,0.19485433188044363
28,19.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.647001076532463,0,0,1,0,0,0,-0.7759343620890847
29,20.103578869047606,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.48977642625839407,0,1,0,0,0,0,-0.6958628068694818
30,27.262214953420493,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4894421904510968,0,0,1,0,0,0,-0.17645894675245793
31,40.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.09027201697708476,0,0,0,0,0,1,0.7477470953701431
32,23.9705,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.301728820789,0,0,0,1,0,0,-0.4152934723604612
33,22.316428670634913,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.49237782784290063,0,1,0,0,0,0,-0.5353067015922954
34,66.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.43700743807979686,0,0,1,0,0,0,2.6342098522244246
35,28.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0060617003323709,0,0,1,0,0,0,-0.12292802317798708
36,42.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.39858208016340624,0,0,1,0,0,0,0.8928596151281648
37,24.825443107586917,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.5028639729296732,0,0,1,0,0,0,-0.3532619980646158
38,21.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4863374216869257,0,0,1,0,0,0,-0.630821842331063
39,18.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.2859972841804228,0,1,0,0,0,0,-0.8484906219680955
40,14.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.42207354059350805,0,1,0,0,0,0,-1.138715661484139
41,40.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4576454924460446,0,0,0,1,0,0,0.7477470953701431
42,27.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.22559322262067316,0,0,0,1,0,0,-0.19548428305699794
43,32.03564383066886,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.4894421904510968,0,0,1,0,0,0,0.16988319937914959
44,3.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.18876253192945994,0,1,0,0,0,0,-1.9368345201532582
45,19.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.48977642625839407,0,1,0,0,0,0,-0.7759343620890847
46,30.70572677927052,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4863374216869257,0,0,1,0,0,0,0.0733893921803638
47,40.085419656038404,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.3363340021468808,0,0,1,0,0,0,0.7539448261324412
48,22.316428670634913,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.49237782784290063,0,1,0,0,0,0,-0.5353067015922954
49,24.155894642857138,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.21191774308354583,0,0,1,0,0,0,-0.4018419304731424
50,18.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.29002422161773944,0,0,0,1,0,0,-0.8484906219680955
51,7.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.1506737441786005,1,0,0,0,0,0,-1.646609480637215
52,21.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4913710934835715,0,0,1,0,0,0,-0.630821842331063
53,49.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.8964967865378598,0,0,0,1,0,0,1.4007534342812407
54,29.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.12491978668775715,0,0,0,1,0,0,-0.05037176329897624
55,65.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5995101505357573,0,0,1,0,0,0,2.561653592345414
56,39.14940119047616,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.06635974158478332,0,0,1,0,0,0,0.6860308270935542
57,21.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.43700743807979686,0,1,0,0,0,0,-0.630821842331063
