,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
0,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923,0,0,1,0,0,0
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0.6131707530307827,0.7868452935884461,0,0,0,1,0,0
2,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26774237242494914,-0.4888542575852486,0,1,0,0,0,0
3,1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,0.4207302360686478,0,0,0,1,0,0
4,0,0,0,1,0,0,0,1,0,1,0,0,1,0.39294247166684976,-0.4863374216869257,0,0,1,0,0,0
5,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.4263836250625497,-0.4781164289086438,0,0,1,0,0,0
6,0,0,0,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.39581356067525103,0,0,1,0,0,0
7,0,3,1,1,0,0,0,1,0,1,0,0,1,-2.0295686233364134,-0.22408312108167944,1,0,0,0,0,0
8,1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19433294530363812,-0.4242561406845337,0,0,0,1,0,0
9,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.1486554978806809,-0.04295550208861426,0,0,0,1,0,0
10,1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.312172377522981,0,1,0,0,0,0
11,1,0,0,0,1,0,0,1,1,0,1,0,0,2.0813592954570024,-0.11384570873513634,0,1,0,0,0,0
12,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4863374216869257,0,0,1,0,0,0
13,0,1,5,1,0,0,0,1,0,1,0,0,1,0.6865801801520938,-0.01870931177853076,0,0,1,0,0,0
14,0,0,0,1,0,0,0,1,1,0,0,0,1,-1.1486554978806809,-0.4902797934380587,0,1,0,0,0,0
15,1,0,0,1,0,0,0,1,1,0,0,1,0,1.8611310140930692,-0.3262666585535892,0,0,0,1,0,0
16,0,4,1,1,0,0,1,0,0,1,0,0,1,-2.0295686233364134,-0.06199888922968463,1,0,0,0,0,0
17,1,0,0,1,0,0,0,1,0,1,0,1,0,0.1775954070154856,-0.3866707201133388,0,0,1,0,0,0
18,0,1,0,1,0,0,0,1,1,0,0,0,1,0.09930476318160583,-0.2859972841804228,0,0,0,1,0,0
19,1,0,0,1,0,1,0,0,1,0,0,0,1,-0.009472948449594893,-0.5029485386158568,0,0,0,1,0,0
20,0,0,0,1,0,0,0,1,0,1,0,1,0,0.39294247166684976,-0.12491978668775715,0,0,1,0,0,0
21,1,0,0,0,1,0,0,1,0,1,0,1,0,0.3195330445455388,-0.3866707201133388,0,0,1,0,0,0
22,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.07524607075937,-0.4867562231804066,0,1,0,0,0,0
23,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.12092351818232715,0.06635974158478332,0,0,1,0,0,0
24,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.5891120606085467,-0.22408312108167944,0,1,0,0,0,0
25,1,1,5,1,0,0,0,1,1,0,0,0,1,0.6131707530307827,-0.01644415947004014,0,0,0,1,0,0
26,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.009472948449594893,-0.5029485386158568,0,0,1,0,0,0
27,0,3,2,0,1,0,0,1,0,1,1,0,0,-0.781608362274126,4.6470010765324625,0,0,1,0,0,0
28,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5334761858066933,-0.4897764262583941,0,1,0,0,0,0
29,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711028,-0.4894421904510968,0,0,1,0,0,0
30,0,0,0,1,0,1,0,0,0,1,1,0,0,0.7599896072734047,-0.09027201697708476,0,0,0,0,0,1
31,1,1,0,0,1,1,0,0,1,0,1,0,0,0.4742836568829718,2.301728820789,0,0,0,1,0,0
32,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.4923778278429006,0,1,0,0,0,0
33,0,0,0,1,0,0,0,1,0,1,0,1,0,2.6686347124274907,-0.4370074380797969,0,0,1,0,0,0
34,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.12092351818232715,1.0060617003323709,0,0,1,0,0,0
35,0,1,0,1,0,0,0,1,0,1,1,0,0,0.9068084615160268,0.39858208016340624,0,0,1,0,0,0
