Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5528092436707409,-0.5024451714361923
1,1,0,0,1,1,0,0,1,0,1,0,0,0.6081687152481543,0.7868452935884461
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.2625647539410171,-0.4888542575852486
1,1,0,0,1,0,0,1,1,0,1,0,0,0.3904853479508615,0.4207302360686478
0,0,0,1,0,0,0,1,0,1,0,0,1,0.3904853479508615,-0.4863374216869257
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.41366128265757923,-0.47811642890864375
0,0,0,0,1,0,0,1,0,1,1,0,0,1.7691466741670494,0.395813560675251
0,3,1,1,0,0,0,1,0,1,0,0,1,-2.00403169231936,-0.22408312108167944
1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19000363150858612,-0.4242561406845337
1,1,0,1,0,1,0,0,1,0,0,1,0,-1.1332982231301885,-0.04295550208861426
1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8589094474544978,-0.312172377522981
1,0,0,0,1,0,0,1,1,0,1,0,0,2.0593911638967732,-0.11384570873513637
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6979314885356027,-0.4863374216869257
0,1,5,1,0,0,0,1,0,1,0,0,1,0.6807298376805853,-0.01870931177853076
0,0,0,1,0,0,0,1,1,0,0,0,1,-1.1332982231301885,-0.4902797934380587
1,0,0,1,0,0,0,1,1,0,0,1,0,1.8417077965994804,-0.3262666585535892
0,4,1,1,0,0,1,0,0,1,0,0,1,-2.00403169231936,-0.06199888922968463
1,0,0,1,0,0,0,1,0,1,0,1,0,0.14107150251097508,-0.3866707201133388
0,1,0,1,0,0,0,1,1,0,0,0,1,0.10024085822113767,-0.2859972841804228
1,0,0,1,0,1,0,0,1,0,0,0,1,0.20513340278139888,-0.5029485386158568
0,0,0,1,0,0,0,1,0,1,0,1,0,0.3904853479508615,-0.12491978668775715
1,0,0,0,1,0,0,1,0,1,0,1,0,0.3179242255184305,-0.3866707201133388
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0607371006977575,-0.4867562231804066
1,0,0,0,1,0,0,1,0,1,1,0,0,-0.11744250907615518,0.06635974158478332
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.5686649577247742,-0.22408312108167944
1,1,5,1,0,0,0,1,1,0,0,0,1,0.6081687152481543,-0.016444159470040135
0,0,0,1,0,1,0,0,0,1,0,0,1,0.20036114302377153,-0.5029485386158568
0,3,2,0,1,0,0,1,0,1,1,0,0,-0.7704926109680337,4.647001076532463
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5727281931895217,-0.48977642625839407
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12144587312084248,-0.4894421904510968
0,0,0,1,0,1,0,0,0,1,1,0,0,0.7532909601130162,-0.09027201697708476
1,1,0,0,1,1,0,0,1,0,1,0,0,0.054700288430504375,2.301728820789
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.2551338307764867,-0.49237782784290063
0,0,0,1,0,0,0,1,0,1,0,1,0,2.6398801433562205,-0.43700743807979686
0,1,0,1,0,1,0,0,0,1,1,0,0,-0.11744250907615518,1.0060617003323709
0,1,0,1,0,0,0,1,0,1,1,0,0,0.8984132049778781,0.39858208016340624
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.34698467792819815,-0.5028639729296732
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6253703661031718,-0.4863374216869257
0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8430537334004646,-0.2859972841804228
1,1,0,1,0,1,0,0,1,0,0,0,1,-1.1332982231301885,-0.42207354059350805
0,1,0,1,0,0,0,1,1,0,0,0,1,0.7532909601130162,-0.4576454924460446
0,1,0,1,0,0,0,1,1,0,0,1,0,-0.19000363150858612,-0.22559322262067316
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.12144587312084248,-0.4894421904510968
1,1,2,1,0,1,0,0,1,0,0,1,0,-1.9314705698869288,0.18876253192945994
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.7704926109680337,-0.48977642625839407
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07888806302320012,-0.4863374216869257
0,1,0,1,0,0,1,0,0,1,0,0,1,0.3096101461954356,-0.3363340021468808
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.2551338307764867,-0.49237782784290063
0,2,0,1,0,1,0,0,0,1,0,0,1,-0.4304277949474224,-0.21191774308354583
0,1,0,1,0,0,0,1,1,0,0,0,1,-0.8430537334004646,-0.29002422161773944
0,4,1,1,0,0,0,1,0,1,0,0,1,-1.6412260801572052,0.1506737441786005
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6253703661031718,-0.4913710934835715
1,1,0,0,1,1,0,0,1,0,1,0,0,1.4063410620048948,0.8964967865378598
1,1,0,1,0,0,0,1,1,0,0,1,0,-0.04488138664372423,-0.12491978668775715
0,0,1,0,1,1,0,0,0,1,1,0,0,2.5673190209237897,0.5995101505357573
1,0,0,0,1,0,0,1,0,1,1,0,0,0.7647121671661665,0.06635974158478332
1,0,0,1,0,0,0,1,1,0,0,1,0,-0.6253703661031718,-0.43700743807979686
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.0811619478599397,-0.5028639729296732
1,1,2,1,0,0,0,1,1,0,0,1,0,-1.786348325022067,-0.08968408411123653
0,5,2,1,0,0,0,1,0,1,0,0,1,-1.3509815904274813,0.2958951755118318
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.5528092436707409,-0.5028639729296732
1,0,0,0,1,0,0,0,1,0,1,0,0,0.6081687152481543,0.962353321387736
0,1,0,0,1,0,0,1,0,1,1,0,0,1.116096572275171,1.0323213593611125
0,3,2,1,0,0,0,1,0,1,0,0,1,-1.8589094474544978,-0.08666388103324908
0,0,0,1,0,1,0,0,0,1,1,0,0,0.6101867935566225,-0.09027201697708476
1,1,1,1,0,1,0,0,0,1,0,0,1,-1.7384500698713798,-0.3414522396297103
1,0,0,0,1,0,0,1,1,0,0,1,0,-0.04488138664372423,-0.43700743807979686
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7704926109680337,-0.4841568350646187
1,4,2,1,0,0,0,1,1,0,0,0,1,-0.9156148558328956,-0.4888542575852486
0,2,0,1,0,0,0,1,0,1,0,0,1,-0.2625647539410171,-0.47400492578514347
0,0,0,1,0,0,0,1,0,1,0,1,0,0.1728019806535686,-0.43700743807979686
0,5,2,1,0,0,0,1,1,0,0,0,1,-0.9881759782653265,0.2958951755118318
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.6253703661031718,0.8314778546749452
0,1,0,1,0,1,0,0,0,1,0,0,1,-0.2625647539410171,-0.3573908580066095
1,0,0,1,0,0,0,1,0,1,0,0,1,0.1728019806535686,0.48910360681684706
0,0,0,0,1,0,0,1,0,1,0,0,1,-0.33512587637344804,-0.494391296561559
