Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923
1,1,0,0,1,1,0,0,1,0,1,0,0,0.6131707530307827,0.7868452935884461
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26774237242494914,-0.4888542575852486
1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,0.4207302360686478
0,0,0,1,0,0,0,1,0,1,0,0,1,0.39294247166684976,-0.4863374216869257
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.4263836250625497,-0.47811642890864375
0,0,0,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.395813560675251
0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029568623336413,-0.22408312108167944
1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19433294530363815,-0.4242561406845337
1,1,0,1,0,1,0,0,1,0,0,1,0,-1.1486554978806809,-0.04295550208861426
1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.312172377522981
1,0,0,0,1,0,0,1,1,0,1,0,0,2.0813592954570024,-0.11384570873513637
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4863374216869257
0,1,5,1,0,0,0,1,0,1,0,0,1,0.6865801801520938,-0.01870931177853076
0,0,0,1,0,0,0,1,1,0,0,0,1,-1.1486554978806809,-0.4902797934380587
1,0,0,1,0,0,0,1,1,0,0,1,0,1.8611310140930695,-0.3262666585535892
0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029568623336413,-0.06199888922968463
1,0,0,1,0,0,0,1,0,1,0,1,0,0.1775954070154856,-0.3866707201133388
0,1,0,1,0,0,0,1,1,0,0,0,1,0.09930476318160582,-0.2859972841804228
1,0,0,1,0,1,0,0,1,0,0,0,1,-0.009472948449594893,-0.5029485386158568
0,0,0,1,0,0,0,1,0,1,0,1,0,0.39294247166684976,-0.12491978668775715
1,0,0,0,1,0,0,1,0,1,0,1,0,0.31953304454553877,-0.3866707201133388
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.07524607075937,-0.4867562231804066
1,0,0,0,1,0,0,1,0,1,1,0,0,-0.12092351818232715,0.06635974158478332
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.589112060608547,-0.22408312108167944
1,1,5,1,0,0,0,1,1,0,0,0,1,0.6131707530307827,-0.016444159470040135
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.009472948449594893,-0.5029485386158568
0,3,2,0,1,0,0,1,0,1,1,0,0,-0.781608362274126,4.647001076532463
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5334761858066933,-0.48977642625839407
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
0,0,0,1,0,1,0,0,0,1,1,0,0,0.7599896072734047,-0.09027201697708476
1,1,0,0,1,1,0,0,1,0,1,0,0,0.4742836568829718,2.301728820789
1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
0,0,0,1,0,0,0,1,0,1,0,1,0,2.6686347124274907,-0.43700743807979686
0,1,0,1,0,1,0,0,0,1,1,0,0,-0.12092351818232715,1.0060617003323709
0,1,0,1,0,0,0,1,0,1,1,0,0,0.9068084615160267,0.39858208016340624
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.4970508961965139,-0.5028639729296732
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4863374216869257
0,2,0,1,0,0,0,1,1,0,0,0,1,-0.855017789395437,-0.2859972841804228
1,1,0,1,0,1,0,0,1,0,0,0,1,-1.1486554978806809,-0.42207354059350805
